Title,Image_URL,Image_Saved
54 Alexandra,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png,images\54_Alexandra.jpg
Astronomy in the medieval Islamic world,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Lunar_phases_al-Biruni.jpg/220px-Lunar_phases_al-Biruni.jpg,images\Astronomy_in_the_medieval_Islamic_world.jpg
COSMOS field,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/The_COSMOS_Hubble_ACS_Field_%282021-042-01FD7GZBGRTJ7H8AVYGK3CP7ZV%29.png/270px-The_COSMOS_Hubble_ACS_Field_%282021-042-01FD7GZBGRTJ7H8AVYGK3CP7ZV%29.png,
Volcano,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Spreading_ridges_volcanoes_map-en.svg/400px-Spreading_ridges_volcanoes_map-en.svg.png,
Timeline of first images of Earth from space,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Space_panorama02.jpg/200px-Space_panorama02.jpg,
Science in classical antiquity,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Four_Classical_Elements_in_Burning_Log.svg/170px-Four_Classical_Elements_in_Burning_Log.svg.png,
Marine navigation,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/AKROTIRI_SHIP-PROCESSION-FULL_PANO-3.jpg/1500px-AKROTIRI_SHIP-PROCESSION-FULL_PANO-3.jpg,images\Marine_navigation.jpg
Divine Comedy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Virgil_.jpg/142px-Virgil_.jpg,images\Divine_Comedy.jpg
The King and the Mockingbird,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Animation_disc.svg/30px-Animation_disc.svg.png,images\The_King_and_the_Mockingbird.jpg
Plate tectonics,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Earth_cutaway_schematic-en.svg/300px-Earth_cutaway_schematic-en.svg.png,
Rahu,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Wiki_letter_w_cropped.svg/20px-Wiki_letter_w_cropped.svg.png,images\Rahu.jpg
Creationism,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Watch_with_no_background.png/180px-Watch_with_no_background.png,
Planetary habitability in the Solar System,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Seawifs_global_biosphere.jpg/400px-Seawifs_global_biosphere.jpg,images\Planetary_habitability_in_the_Solar_System.jpg
Marcel Minnaert,,
Geodesy,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Edit-clear.svg/40px-Edit-clear.svg.png,images\Geodesy.jpg
Quaternary,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Wiki_letter_w_cropped.svg/20px-Wiki_letter_w_cropped.svg.png,images\Quaternary.jpg
Horseshoe orbit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Crab_Nebula.jpg/28px-Crab_Nebula.jpg,images\Horseshoe_orbit.jpg
Fast folding algorithm,,
Hindu astrology,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Clock_of_San_Marco_clockface.png/170px-Clock_of_San_Marco_clockface.png,images\Hindu_astrology.jpg
Sphere,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Sphere_and_circumscribed_cylinder.svg/240px-Sphere_and_circumscribed_cylinder.svg.png,
N-body problem,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Kipler%27s_Error.jpg/220px-Kipler%27s_Error.jpg,
Plan of salvation in Mormonism,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,images\Plan_of_salvation_in_Mormonism.jpg
Gillian Murphy,,
Nebulae and Star Clusters,,
Mantrapushpanjali,,
Ceres (dwarf planet),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Ceres_symbol_%28bold%29.svg/24px-Ceres_symbol_%28bold%29.svg.png,images\Ceres_(dwarf_planet).jpg
Moons of Mars,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/HallPortrait.jpg/170px-HallPortrait.jpg,
Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/The_Earth_seen_from_Apollo_17.jpg/220px-The_Earth_seen_from_Apollo_17.jpg,images\Nature.jpg
Mysteries of the Unknown,,
Te lapa,,
Azerbaijani calendar beliefs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Azerbaijan-Pomegranate_Festival_woman_in_national_costumes_%28e-citizen%29.jpg/200px-Azerbaijan-Pomegranate_Festival_woman_in_national_costumes_%28e-citizen%29.jpg,
Qusta ibn Luqa,,
Newtonianism,,
Soviet crewed lunar programs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/ZOND.jpg/220px-ZOND.jpg,
Al-Zarqali,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Torre-Calahorra-Azafea-0944R.jpg/170px-Torre-Calahorra-Azafea-0944R.jpg,
J. Eric S. Thompson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Tombstone_of_Eric_Thompson_%28Christian_Prager%2C_2015%29.jpg/220px-Tombstone_of_Eric_Thompson_%28Christian_Prager%2C_2015%29.jpg,
SOHO,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Symbol_category_class.svg/16px-Symbol_category_class.svg.png,images\SOHO.jpg
Globe,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/533d_Training_Squadron_-_Training.jpg/220px-533d_Training_Squadron_-_Training.jpg,
Natural science,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Volcano_q.jpg/176px-Volcano_q.jpg,images\Natural_science.jpg
Aether (classical element),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Alchemical_fire_symbol_%28fixed_width%29.svg/15px-Alchemical_fire_symbol_%28fixed_width%29.svg.png,images\Aether_(classical_element).jpg
Strategic Defense Initiative,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/LIM-49A_Spartan_mockup.png/220px-LIM-49A_Spartan_mockup.png,
Proterozoic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Rodinia_900Ma.jpg/120px-Rodinia_900Ma.jpg,images\Proterozoic.jpg
Guide star,,
Orbit insertion,,
YORP effect,,
List of emerging technologies,,
Orbital maneuver,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,images\Orbital_maneuver.jpg
Dhruva,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Raja_Ravi_Varma%2C_Dhruv_Narayan.jpg/220px-Raja_Ravi_Varma%2C_Dhruv_Narayan.jpg,
Motion,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Stylised_atom_with_three_Bohr_model_orbits_and_stylised_nucleus.svg/14px-Stylised_atom_with_three_Bohr_model_orbits_and_stylised_nucleus.svg.png,images\Motion.jpg
Otto Struve,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Otto_Struve_Telescope.jpg/220px-Otto_Struve_Telescope.jpg,
Maya civilization,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Mayamap.png/220px-Mayamap.png,images\Maya_civilization.jpg
Three-body problem,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Restricted_Three-Body_Problem_-_Energy_Potential_Analysis.png/300px-Restricted_Three-Body_Problem_-_Energy_Potential_Analysis.png,images\Three-body_problem.jpg
Geometry,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nuvola_apps_edu_mathematics_blue-p.svg/20px-Nuvola_apps_edu_mathematics_blue-p.svg.png,images\Geometry.jpg
Magical alphabet,,
